employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle

1002,Murphy,Diane,x5800,dmurphy@classicmodelcars.com,1,NULL,President
1056,Patterson,Mary,x4611,mpatterso@classicmodelcars.com,1,1002,VP Sales
1076,Firrelli,Jeff,x9273,jfirrelli@classicmodelcars.com,1,1002,VP Marketing
1088,Patterson,William,x4871,wpatterson@classicmodelcars.com,5,1056,Sales Manager APAC
1102,Bondur,Gerard,x5408,gbondur@classicmodelcars.com,4,1056,Sale Manager EMEA
1143,Bow,Anthony,x5428,abow@classicmodelcars.com,1,1056,Sales Manager NA
1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,3,1143,Sales Rep
1611,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,Sales Rep
1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,Sales Rep
